canonical_id,year,seq,suffix,published,source,source_url,wayback_timestamp,local_path,sha256,bytes,pages,low_confidence,fetched_at
2025-026,2025,26,,,wayback,https://web.archive.org/web/20250702090813id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/06/Lista-Oficial-Web-265.pdf,20250702090813,pdfs/2025/Lista-Oficial-Web-265.pdf,49d01b473b128ef722c5626d8b4c503b8c832d16c8343d9f9fcfba7148ec7c47,3372775,2,False,2026-08-11T01:23:03+00:00
2025-027,2025,27,,,wayback,https://web.archive.org/web/20250713083432id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/07/Lista-Oficial-Web-275.pdf,20250713083432,pdfs/2025/Lista-Oficial-Web-275.pdf,3ef9b74171c9f11c8e239a8b22cde265b7b97929e3f4cf359ce29375bb16dde5,3603326,2,False,2026-08-11T01:23:08+00:00
2025-028,2025,28,,,wayback,https://web.archive.org/web/20250712071756id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/07/Lista-Oficial-Web-285.pdf,20250712071756,pdfs/2025/Lista-Oficial-Web-285.pdf,ca3771c71f8d8c0784bfb0a2f25848fa7b06839a5304bbfff96a780f0ad216d2,3401117,2,False,2026-08-11T01:23:17+00:00
2025-031,2025,31,,,wayback,https://web.archive.org/web/20250802163720id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/07/Lista-Oficial-Web-315.pdf,20250802163720,pdfs/2025/Lista-Oficial-Web-315.pdf,deb994c5211e9a5c6e7ee6036e6317ac9637a9153e7915345704b780e3f2df73,3324669,2,False,2026-08-11T01:23:30+00:00
2025-034,2025,34,,,wayback,https://web.archive.org/web/20251005223607id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/08/Lista-Oficial-Web-345.pdf,20251005223607,pdfs/2025/Lista-Oficial-Web-345.pdf,52c533886bb2329a03ca8ad0a010ae3bf3014de8f24fd05d6819a7a671f69fca,3907689,2,False,2026-08-11T01:23:38+00:00
2025-035,2025,35,,,wayback,https://web.archive.org/web/20250901091604id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/08/Lista-Oficial-Web-355.pdf,20250901091604,pdfs/2025/Lista-Oficial-Web-355.pdf,87cd2e6331b5fcfb048415f70a95af8b5928187f3a8197a066a332ba69f30b6f,3454621,2,False,2026-08-11T01:23:44+00:00
2025-039,2025,39,,,wayback,https://web.archive.org/web/20251001023449id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/09/Lista-Oficial-Web-395.pdf,20251001023449,pdfs/2025/Lista-Oficial-Web-395.pdf,05c32828e48a315fba76081c890db09af49f9190e1aa879062aba627508f47e9,3457326,2,False,2026-08-11T01:23:49+00:00
2025-040,2025,40,,,wayback,https://web.archive.org/web/20251005215947id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/10/Lista-Oficial-Web-405.pdf,20251005215947,pdfs/2025/Lista-Oficial-Web-405.pdf,06b2e870601fa686e291f78c6ddcf10c9a5081a422284cc6723ef58bbe11d82f,3492057,2,False,2026-08-11T01:23:51+00:00
2025-042,2025,42,,,wayback,https://web.archive.org/web/20251018135904id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/10/Lista-Oficial-Web-425.pdf,20251018135904,pdfs/2025/Lista-Oficial-Web-425.pdf,ee776e55d32a1301b55ad9f553ace7343c4242e65127af1309650260c671fe86,3433461,2,False,2026-08-11T01:23:54+00:00
2025-044,2025,44,,,wayback,https://web.archive.org/web/20251116082227id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/10/Lista-Oficial-Web-445.pdf,20251116082227,pdfs/2025/Lista-Oficial-Web-445.pdf,29be139044b2ed35f1f3d356b2ec9fae51f400909eb53e2f1145eda409379933,3459859,2,False,2026-08-11T01:23:57+00:00
2025-045,2025,45,,,wayback,https://web.archive.org/web/20251110144927id_/https://loteriasdepuertorico.pr.gov/wp-content/uploads/2025/11/Lista-Oficial-Web-455.pdf,20251110144927,pdfs/2025/Lista-Oficial-Web-455.pdf,2d93b20f68f8cb58f41da3a4cd3b53994b78bfb271050c7eee473e4fc93b98b5,3323107,2,False,2026-08-11T01:24:00+00:00
